segment_label,frame_number,angle_group,angle_value,categories,segment_total_frames
0:00:01.700000-0:00:06.966667,1,group1,169.38411518957233,original,159
0:00:01.700000-0:00:06.966667,2,group1,0.0,original,159
0:00:01.700000-0:00:06.966667,3,group1,0.0,original,159
0:00:01.700000-0:00:06.966667,4,group1,0.0,original,159
0:00:01.700000-0:00:06.966667,5,group1,0.0,original,159
0:00:01.700000-0:00:06.966667,6,group1,0.0,original,159
0:00:01.700000-0:00:06.966667,7,group1,0.0,original,159
0:00:01.700000-0:00:06.966667,8,group1,0.0,original,159
0:00:01.700000-0:00:06.966667,9,group1,0.0,original,159
0:00:01.700000-0:00:06.966667,10,group1,0.0,original,159
0:00:01.700000-0:00:06.966667,11,group1,0.0,original,159
0:00:01.700000-0:00:06.966667,12,group1,0.0,original,159
0:00:01.700000-0:00:06.966667,13,group1,0.0,original,159
0:00:01.700000-0:00:06.966667,14,group1,0.0,original,159
0:00:01.700000-0:00:06.966667,15,group1,0.0,original,159
0:00:01.700000-0:00:06.966667,16,group1,0.0,original,159
0:00:01.700000-0:00:06.966667,17,group1,0.0,original,159
0:00:01.700000-0:00:06.966667,18,group1,0.0,original,159
0:00:01.700000-0:00:06.966667,19,group1,0.0,original,159
0:00:01.700000-0:00:06.966667,20,group1,0.0,original,159
0:00:01.700000-0:00:06.966667,21,group1,0.0,original,159
0:00:01.700000-0:00:06.966667,22,group1,0.0,original,159
0:00:01.700000-0:00:06.966667,23,group1,0.0,original,159
0:00:01.700000-0:00:06.966667,24,group1,0.0,original,159
0:00:01.700000-0:00:06.966667,25,group1,0.0,original,159
0:00:01.700000-0:00:06.966667,26,group1,0.0,original,159
0:00:01.700000-0:00:06.966667,27,group1,0.0,original,159
0:00:01.700000-0:00:06.966667,28,group1,0.0,original,159
0:00:01.700000-0:00:06.966667,29,group1,0.0,original,159
0:00:01.700000-0:00:06.966667,30,group1,0.0,original,159
0:00:01.700000-0:00:06.966667,31,group1,0.0,original,159
0:00:01.700000-0:00:06.966667,32,group1,0.0,original,159
0:00:01.700000-0:00:06.966667,33,group1,0.0,original,159
0:00:01.700000-0:00:06.966667,34,group1,0.0,original,159
0:00:01.700000-0:00:06.966667,35,group1,0.0,original,159
0:00:01.700000-0:00:06.966667,36,group1,0.0,original,159
0:00:01.700000-0:00:06.966667,37,group1,0.0,original,159
0:00:01.700000-0:00:06.966667,38,group1,0.0,original,159
0:00:01.700000-0:00:06.966667,39,group1,0.0,original,159
0:00:01.700000-0:00:06.966667,40,group1,0.0,original,159
0:00:01.700000-0:00:06.966667,41,group1,0.0,original,159
0:00:01.700000-0:00:06.966667,42,group1,0.0,original,159
0:00:01.700000-0:00:06.966667,43,group1,0.0,original,159
0:00:01.700000-0:00:06.966667,44,group1,0.0,original,159
0:00:01.700000-0:00:06.966667,45,group1,0.0,original,159
0:00:01.700000-0:00:06.966667,46,group1,0.0,original,159
0:00:01.700000-0:00:06.966667,47,group1,0.0,original,159
0:00:01.700000-0:00:06.966667,48,group1,0.0,original,159
0:00:01.700000-0:00:06.966667,49,group1,0.0,original,159
0:00:01.700000-0:00:06.966667,50,group1,0.0,original,159
0:00:01.700000-0:00:06.966667,51,group1,0.0,original,159
0:00:01.700000-0:00:06.966667,52,group1,0.0,original,159
0:00:01.700000-0:00:06.966667,53,group1,0.0,original,159
0:00:01.700000-0:00:06.966667,54,group1,0.0,original,159
0:00:01.700000-0:00:06.966667,55,group1,0.0,original,159
0:00:01.700000-0:00:06.966667,56,group1,0.0,original,159
0:00:01.700000-0:00:06.966667,57,group1,0.0,original,159
0:00:01.700000-0:00:06.966667,58,group1,0.0,original,159
0:00:01.700000-0:00:06.966667,59,group1,0.0,original,159
0:00:01.700000-0:00:06.966667,60,group1,0.0,original,159
0:00:01.700000-0:00:06.966667,61,group1,0.0,original,159
0:00:01.700000-0:00:06.966667,62,group1,170.54522002771782,original,159
0:00:01.700000-0:00:06.966667,1,group2,11.907975487695548,original,159
0:00:01.700000-0:00:06.966667,2,group2,36.336203403306804,original,159
0:00:01.700000-0:00:06.966667,3,group2,37.25618207318333,original,159
0:00:01.700000-0:00:06.966667,4,group2,37.57984083228814,original,159
0:00:01.700000-0:00:06.966667,5,group2,38.363557228222916,original,159
0:00:01.700000-0:00:06.966667,6,group2,38.654523286865455,original,159
0:00:01.700000-0:00:06.966667,7,group2,38.10912926654535,original,159
0:00:01.700000-0:00:06.966667,8,group2,38.138864495097,original,159
0:00:01.700000-0:00:06.966667,9,group2,36.997625262152496,original,159
0:00:01.700000-0:00:06.966667,10,group2,35.75633058805648,original,159
0:00:01.700000-0:00:06.966667,11,group2,34.865571467449264,original,159
0:00:01.700000-0:00:06.966667,12,group2,35.116406749623394,original,159
0:00:01.700000-0:00:06.966667,13,group2,34.682385793909525,original,159
0:00:01.700000-0:00:06.966667,14,group2,35.294927403960024,original,159
